country,year,gdp
CAN,1980,11693.73635
CAN,1981,13082.55547
CAN,1982,13289.05397
CAN,1983,14029.42252
CAN,1984,15249.74726
CAN,1985,16327.42117
CAN,1986,16845.22681
CAN,1987,17729.53463
CAN,1988,18917.51941
CAN,1989,19756.9713
CAN,1990,20223.08758
CAN,1991,20218.01579
CAN,1992,20619.41133
CAN,1993,21432.76516
CAN,1994,22625.12817
CAN,1995,23477.63429
CAN,1996,24041.98943
CAN,1997,25251.11685
CAN,1998,26310.95696
CAN,1999,27841.62958
CAN,2000,29363.14712
CAN,2001,30214.301
CAN,2002,30963.22201
CAN,2003,32333.60816
CAN,2004,33911.21829
CAN,2005,36327.66206
CAN,2006,38107.13624
CAN,2007,39555.5237
CAN,2008,40376.33017
CAN,2009,38893.72746
CAN,2010,40114.22204
CAN,2011,41666.71885
CAN,2012,42290.87908
CAN,2013,44298.51446
CAN,2014,45753.78294
CAN,2015,44670.05437
CAN,2016,46472.36877
CAN,2017,48479.82359
CAN,2018,51106.8957
CAN,2019,51822.19496
FRA,1980,9662.157878
FRA,1981,10629.15501
FRA,1982,11499.15621
FRA,1983,12032.71235
FRA,1984,12594.02836
FRA,1985,13137.43499
FRA,1986,13645.41429
FRA,1987,14263.38472
FRA,1988,15378.02326
FRA,1989,16576.07541
FRA,1990,17602.77512
FRA,1991,18297.09381
FRA,1992,18919.33564
FRA,1993,19162.45698
FRA,1994,19958.91094
FRA,1995,20731.55977
FRA,1996,21310.20195
FRA,1997,22239.64007
FRA,1998,23362.48815
FRA,1999,24311.40386
FRA,2000,26106.0529
FRA,2001,27506.15675
FRA,2002,28528.15611
FRA,2003,28148.11565
FRA,2004,29040.96529
FRA,2005,30504.05878
FRA,2006,32431.43563
FRA,2007,34086.9568
FRA,2008,35102.87043
FRA,2009,34711.65571
FRA,2010,35939.45584
FRA,2011,37447.94954
FRA,2012,37684.19807
FRA,2013,39528.47364
FRA,2014,40144.05949
FRA,2015,40829.89331
FRA,2016,42855.94456
FRA,2017,44622.75826
FRA,2018,47922.18851
FRA,2019,50693.4994
DEU,1980,10388.29373
DEU,1981,11414.66997
DEU,1982,12084.83009
DEU,1983,12790.40949
DEU,1984,13674.25444
DEU,1985,14468.17266
DEU,1986,15092.8722
DEU,1987,15677.24971
DEU,1988,16746.40442
DEU,1989,17951.87888
DEU,1990,19432.87768
DEU,1991,20955.50004
DEU,1992,21702.21937
DEU,1993,21878.17178
DEU,1994,22823.15707
DEU,1995,23614.67995
DEU,1996,24151.66534
DEU,1997,24722.26844
DEU,1998,25531.12268
DEU,1999,26510.2287
DEU,2000,27462.90882
DEU,2001,28670.79061
DEU,2002,29504.28924
DEU,2003,30238.26926
DEU,2004,31715.39252
DEU,2005,32236.74099
DEU,2006,34620.41359
DEU,2007,36813.71345
DEU,2008,38432.44821
DEU,2009,37492.64945
DEU,2010,39707.32995
DEU,2011,42541.51313
DEU,2012,43359.54105
