country,year,gdp,
AUS,1980,10448.46518,
AUS,1981,11922.77926,
AUS,1982,11957.27114,
AUS,1983,12739.97025,
AUS,1984,13563.24343,
AUS,1985,14468.52587,
AUS,1986,14952.07856,
AUS,1987,16010.94334,
AUS,1988,17079.29336,
AUS,1989,17782.18755,
AUS,1990,17786.97831,
AUS,1991,18126.138,
AUS,1992,19094.49678,
AUS,1993,20118.48044,
AUS,1994,21349.56528,
AUS,1995,22353.99456,
AUS,1996,23220.09089,
AUS,1997,24403.02172,
AUS,1998,25630.46874,
AUS,1999,27098.22128,
AUS,2000,28252.62989,
AUS,2001,29493.21486,
AUS,2002,30740.9629,
AUS,2003,32248.25584,
AUS,2004,33865.90651,
AUS,2005,35570.80802,
AUS,2006,37842.93398,
AUS,2007,39596.04008,
AUS,2008,40094.83321,
AUS,2009,41614.09072,
AUS,2010,42787.06596,
AUS,2011,44419.30975,
AUS,2012,43879.18036,
AUS,2013,47761.21406,
AUS,2014,47644.76279,
AUS,2015,47317.2507,
AUS,2016,50237.79443,
AUS,2017,51011.46292,
AUS,2018,54262.88285,
AUS,2019,54262.61756,E
AUT,1980,10502.03026,E
AUT,1981,11449.92693,E
AUT,1982,12392.95259,E
AUT,1983,13282.68877,E
AUT,1984,13769.81382,E
AUT,1985,14553.38822,E
AUT,1986,15178.50326,E
AUT,1987,15754.9083,E
AUT,1988,16824.39702,E
AUT,1989,18081.94227,E
AUT,1990,19425.41078,E
AUT,1991,20567.1153,E
AUT,1992,21241.15017,E
AUT,1993,21679.45288,E
AUT,1994,22587.17634,E
AUT,1995,23639.8277,
AUT,1996,24500.22105,
AUT,1997,25417.86248,
AUT,1998,26673.95101,
AUT,1999,27606.48424,
AUT,2000,29388.78496,
AUT,2001,29715.63602,
AUT,2002,31178.05144,
AUT,2003,32123.69619,
AUT,2004,33756.25941,
AUT,2005,35024.55748,
AUT,2006,37614.94276,
AUT,2007,39384.18962,
AUT,2008,41316.02264,
AUT,2009,40957.26232,
AUT,2010,42053.24337,
AUT,2011,44469.20964,
AUT,2012,46477.65508,
AUT,2013,47936.67796,
AUT,2014,48813.53441,
AUT,2015,49942.05629,
AUT,2016,52665.08746,
AUT,2017,54358.36187,
AUT,2018,58869.52762,
AUT,2019,60414.13482,
BEL,1980,10281.59762,E
BEL,1981,11215.05658,E
BEL,1982,11969.08117,E
BEL,1983,12470.34694,E
BEL,1984,13237.56101,E
BEL,1985,13878.94721,E
BEL,1986,14413.60518,E
BEL,1987,15093.83283,E
BEL,1988,16308.14119,E
BEL,1989,17471.90344,E
BEL,1990,18642.10576,E
BEL,1991,19551.28261,E
BEL,1992,20220.06853,E
BEL,1993,20420.77086,E
BEL,1994,21466.02651,E
BEL,1995,22392.29474,
BEL,1996,22688.86126,
BEL,1997,23725.27571,
BEL,1998,24369.38247,
BEL,1999,25440.89624,
BEL,2000,27796.79098,
BEL,2001,28800.44739,
BEL,2002,30282.25412,
BEL,2003,30901.0849,
BEL,2004,32036.62809,
BEL,2005,33177.94734,
BEL,2006,35211.89373,
BEL,2007,36746.54052,
BEL,2008,37883.23342,
BEL,2009,37777.28528,
BEL,2010,39870.45633,
BEL,2011,40942.23072,
BEL,2012,42290.85843,
BEL,2013,43671.14688,
BEL,2014,44929.53249,
BEL,2015,46200.86629,
BEL,2016,48597.48712,
BEL,2017,50596.42405,
BEL,2018,54330.06365,
BEL,2019,56324.22526,
CAN,1980,11693.73635,
CAN,1981,13082.55547,
CAN,1982,13289.05397,
CAN,1983,14029.42252,
CAN,1984,15249.74726,
CAN,1985,16327.42117,
CAN,1986,16845.22681,
CAN,1987,17729.53463,
CAN,1988,18917.51941,
CAN,1989,19756.9713,
CAN,1990,20223.08758,
CAN,1991,20218.01579,
CAN,1992,20619.41133,
CAN,1993,21432.76516,
CAN,1994,22625.12817,
CAN,1995,23477.63429,
CAN,1996,24041.98943,
CAN,1997,25251.11685,
CAN,1998,26310.95696,
CAN,1999,27841.62958,
CAN,2000,29363.14712,
CAN,2001,30214.301,
CAN,2002,30963.22201,
CAN,2003,32333.60816,
CAN,2004,33911.21829,
CAN,2005,36327.66206,
CAN,2006,38107.13624,
CAN,2007,39555.5237,
CAN,2008,40376.33017,
CAN,2009,38893.72746,
CAN,2010,40114.22204,
CAN,2011,41666.71885,
CAN,2012,42290.87908,
CAN,2013,44298.51446,
CAN,2014,45753.78294,
CAN,2015,44670.05437,
CAN,2016,46472.36877,
CAN,2017,48479.82359,
CAN,2018,51106.8957,
CAN,2019,51822.19496,
CZE,1990,12736.72624,E
CZE,1991,11699.08849,E
CZE,1992,11894.55986,E
CZE,1993,12168.8168,E
CZE,1994,12783.3815,E
CZE,1995,13821.25376,
CZE,1996,14653.46098,
CZE,1997,14820.19833,
CZE,1998,14976.28712,
CZE,1999,15397.92282,
CZE,2000,16214.96755,
CZE,2001,17615.59502,
CZE,2002,18245.66901,
CZE,2003,19503.29371,
CZE,2004,20894.60712,
CZE,2005,22045.99888,
CZE,2006,23827.14738,
CZE,2007,26189.79839,
CZE,2008,27853.5499,
CZE,2009,27656.01513,
CZE,2010,27789.60838,
CZE,2011,28999.75476,
CZE,2012,29258.90485,
CZE,2013,30828.52641,
CZE,2014,32504.21758,
